 Local Health Districts, year, Sex, State comparison, Average number per year," Rate per 100,000 population", LL 95% CI, UL 95% CI
 Hunter New England LHD, 2013-2014, Females, Hunter New England LHD,118.3,16,14,18.3
 Hunter New England LHD, 2013-2014, Females, Rest of NSW,678.8,14.5,13.7,15.3
 Hunter New England LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 Hunter New England LHD, 2013-2014, Persons, Hunter New England LHD,257.2,21.9,20,23.9
 Hunter New England LHD, 2013-2014, Persons, Rest of NSW,1486.7,19.2,18.5,19.9
 Hunter New England LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 Hunter New England LHD, 2014-2015, Males, Hunter New England LHD,150.8,29.2,25.9,32.8
 Hunter New England LHD, 2014-2015, Males, Rest of NSW,829.3,23.6,22.5,24.8
 Hunter New England LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 Hunter New England LHD, 2014-2015, Females, Hunter New England LHD,120.6,16.2,14.1,18.5
 Hunter New England LHD, 2014-2015, Females, Rest of NSW,688.9,14.4,13.6,15.2
 Hunter New England LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 Hunter New England LHD, 2014-2015, Persons, Hunter New England LHD,271.4,22.9,20.9,24.9
 Hunter New England LHD, 2014-2015, Persons, Rest of NSW,1518.1,19.1,18.5,19.8
 Hunter New England LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 Hunter New England LHD, 2015-2016, Males, Hunter New England LHD,150.7,29,25.8,32.6
 Hunter New England LHD, 2015-2016, Males, Rest of NSW,844,23.4,22.3,24.6
 Hunter New England LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 Hunter New England LHD, 2015-2016, Females, Hunter New England LHD,122.3,16.5,14.4,18.8
 Hunter New England LHD, 2015-2016, Females, Rest of NSW,676.4,13.9,13.2,14.7
 Hunter New England LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 Hunter New England LHD, 2015-2016, Persons, Hunter New England LHD,273,22.9,20.9,24.9
 Hunter New England LHD, 2015-2016, Persons, Rest of NSW,1520.4,18.8,18.1,19.5
 Hunter New England LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 Northern NSW LHD, 2001-2002, Males, Northern NSW LHD,45.6,32.6,26.1,40.2
 Northern NSW LHD, 2001-2002, Males, Rest of NSW,882,30.8,29.4,32.3
 Northern NSW LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 Northern NSW LHD, 2001-2002, Females, Northern NSW LHD,43.9,22.4,17.9,27.8
 Northern NSW LHD, 2001-2002, Females, Rest of NSW,844.2,21.7,20.7,22.8
 Northern NSW LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 Northern NSW LHD, 2001-2002, Persons, Northern NSW LHD,89.5,28,24,32.5
 Northern NSW LHD, 2001-2002, Persons, Rest of NSW,1726.2,26.8,25.9,27.7
 Northern NSW LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 Northern NSW LHD, 2002-2003, Males, Northern NSW LHD,47.3,33.2,26.7,40.8
 Northern NSW LHD, 2002-2003, Males, Rest of NSW,859.6,29.6,28.2,31
 Northern NSW LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 Northern NSW LHD, 2002-2003, Females, Northern NSW LHD,45.9,22.8,18.3,28.2
 Northern NSW LHD, 2002-2003, Females, Rest of NSW,863.4,21.7,20.7,22.8
 Northern NSW LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 Northern NSW LHD, 2002-2003, Persons, Northern NSW LHD,93.2,28.6,24.5,33.1
 Northern NSW LHD, 2002-2003, Persons, Rest of NSW,1723,26.2,25.4,27.1
 Northern NSW LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 Northern NSW LHD, 2003-2004, Males, Northern NSW LHD,46,31.3,25.1,38.6
 Northern NSW LHD, 2003-2004, Males, Rest of NSW,818.3,27.8,26.4,29.2
 Northern NSW LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 Northern NSW LHD, 2003-2004, Females, Northern NSW LHD,45.4,21.9,17.5,27.1
 Northern NSW LHD, 2003-2004, Females, Rest of NSW,849.1,20.9,19.9,22
 Northern NSW LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 Northern NSW LHD, 2003-2004, Persons, Northern NSW LHD,91.4,27.1,23.2,31.5
 Northern NSW LHD, 2003-2004, Persons, Rest of NSW,1667.4,24.9,24.1,25.8
 Northern NSW LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 Northern NSW LHD, 2004-2005, Males, Northern NSW LHD,43.9,29.2,23.2,36.1
 Northern NSW LHD, 2004-2005, Males, Rest of NSW,791.6,26.5,25.2,27.8
 Northern NSW LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 Northern NSW LHD, 2004-2005, Females, Northern NSW LHD,43.6,20.1,15.9,24.9
 Northern NSW LHD, 2004-2005, Females, Rest of NSW,816.5,19.7,18.7,20.7
 Northern NSW LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 Northern NSW LHD, 2004-2005, Persons, Northern NSW LHD,87.5,25.1,21.4,29.3
 Northern NSW LHD, 2004-2005, Persons, Rest of NSW,1608,23.6,22.8,24.4
 Northern NSW LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 Northern NSW LHD, 2005-2006, Males, Northern NSW LHD,44.9,29.6,23.6,36.6
 Northern NSW LHD, 2005-2006, Males, Rest of NSW,801.5,26.2,25,27.6
 Northern NSW LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 Northern NSW LHD, 2005-2006, Females, Northern NSW LHD,45,20.1,16,24.9
 Northern NSW LHD, 2005-2006, Females, Rest of NSW,795.4,18.8,17.9,19.8
 Northern NSW LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 Northern NSW LHD, 2005-2006, Persons, Northern NSW LHD,89.9,25.4,21.7,29.5
 Northern NSW LHD, 2005-2006, Persons, Rest of NSW,1596.9,22.9,22.1,23.7
 Northern NSW LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 Northern NSW LHD, 2006-2007, Males, Northern NSW LHD,43.3,27.1,21.6,33.7
 Northern NSW LHD, 2006-2007, Males, Rest of NSW,811.2,25.9,24.7,27.2
 Northern NSW LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 Northern NSW LHD, 2006-2007, Females, Northern NSW LHD,44.8,19.6,15.6,24.4
 Northern NSW LHD, 2006-2007, Females, Rest of NSW,795.2,18.3,17.4,19.3
 Northern NSW LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 Northern NSW LHD, 2006-2007, Persons, Northern NSW LHD,88.1,23.8,20.3,27.7
 Northern NSW LHD, 2006-2007, Persons, Rest of NSW,1606.4,22.5,21.7,23.3
 Northern NSW LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 Northern NSW LHD, 2007-2008, Males, Northern NSW LHD,43.5,26.4,21,32.8
 Northern NSW LHD, 2007-2008, Males, Rest of NSW,794,24.7,23.5,25.9
 Northern NSW LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 Northern NSW LHD, 2007-2008, Females, Northern NSW LHD,45.3,19.4,15.4,24.1
 Northern NSW LHD, 2007-2008, Females, Rest of NSW,795.4,17.7,16.9,18.7
 Northern NSW LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 Northern NSW LHD, 2007-2008, Persons, Northern NSW LHD,88.9,23.2,19.8,27
 Northern NSW LHD, 2007-2008, Persons, Rest of NSW,1589.4,21.6,20.8,22.4
 Northern NSW LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 Northern NSW LHD, 2008-2009, Males, Northern NSW LHD,52.6,32.2,26.1,39.3
 Northern NSW LHD, 2008-2009, Males, Rest of NSW,800.8,24.2,23,25.4
 Northern NSW LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 Northern NSW LHD, 2008-2009, Females, Northern NSW LHD,45.1,18.6,14.7,23.1
 Northern NSW LHD, 2008-2009, Females, Rest of NSW,785.7,17.1,16.2,18
 Northern NSW LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 Northern NSW LHD, 2008-2009, Persons, Northern NSW LHD,97.6,25.6,22,29.7
 Northern NSW LHD, 2008-2009, Persons, Rest of NSW,1586.5,21,20.3,21.8
 Northern NSW LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 Northern NSW LHD, 2009-2010, Males, Northern NSW LHD,53.3,31.9,25.9,38.9
 Northern NSW LHD, 2009-2010, Males, Rest of NSW,822.8,24.1,23,25.3
 Northern NSW LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 Northern NSW LHD, 2009-2010, Females, Northern NSW LHD,46.4,18.1,14.4,22.4
 Northern NSW LHD, 2009-2010, Females, Rest of NSW,773,16.4,15.6,17.3
 Northern NSW LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 Northern NSW LHD, 2009-2010, Persons, Northern NSW LHD,99.7,25.4,21.8,29.4
 Northern NSW LHD, 2009-2010, Persons, Rest of NSW,1595.7,20.6,19.9,21.3
 Northern NSW LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 Northern NSW LHD, 2010-2011, Males, Northern NSW LHD,49.3,29.2,23.5,35.9
 Northern NSW LHD, 2010-2011, Males, Rest of NSW,834.7,23.8,22.6,25
 Northern NSW LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 Northern NSW LHD, 2010-2011, Females, Northern NSW LHD,50,18.8,15.1,23.1
 Northern NSW LHD, 2010-2011, Females, Rest of NSW,774.6,16,15.2,16.8
 Northern NSW LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 Northern NSW LHD, 2010-2011, Persons, Northern NSW LHD,99.3,24.4,20.9,28.3
 Northern NSW LHD, 2010-2011, Persons, Rest of NSW,1609.3,20.2,19.5,20.9
 Northern NSW LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 Northern NSW LHD, 2011-2012, Males, Northern NSW LHD,49.9,29.3,23.5,36
 Northern NSW LHD, 2011-2012, Males, Rest of NSW,840.7,23.4,22.3,24.6
 Northern NSW LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 Northern NSW LHD, 2011-2012, Females, Northern NSW LHD,47.4,17.7,14,21.9
 Northern NSW LHD, 2011-2012, Females, Rest of NSW,775.9,15.7,14.9,16.5
 Northern NSW LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 Northern NSW LHD, 2011-2012, Persons, Northern NSW LHD,97.3,23.6,20.2,27.5
 Northern NSW LHD, 2011-2012, Persons, Rest of NSW,1616.5,19.8,19.1,20.5
 Northern NSW LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 Northern NSW LHD, 2012-2013, Males, Northern NSW LHD,55.2,31.3,25.4,38.1
 Northern NSW LHD, 2012-2013, Males, Rest of NSW,851.7,23.2,22.1,24.3
 Northern NSW LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 Northern NSW LHD, 2012-2013, Females, Northern NSW LHD,45.1,17,13.4,21.2
 Northern NSW LHD, 2012-2013, Females, Rest of NSW,750.4,14.9,14.1,15.7
 Northern NSW LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 Northern NSW LHD, 2012-2013, Persons, Northern NSW LHD,100.3,24.2,20.7,28
 Northern NSW LHD, 2012-2013, Persons, Rest of NSW,1602.1,19.2,18.6,19.9
 Northern NSW LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 Northern NSW LHD, 2013-2014, Males, Northern NSW LHD,57.9,31.6,25.8,38.3
 Northern NSW LHD, 2013-2014, Males, Rest of NSW,888.8,23.7,22.6,24.8
 Northern NSW LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
 Northern NSW LHD, 2013-2014, Females, Northern NSW LHD,46.7,17.3,13.6,21.5
 Northern NSW LHD, 2013-2014, Females, Rest of NSW,750.4,14.6,13.8,15.3
 Northern NSW LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 Northern NSW LHD, 2013-2014, Persons, Northern NSW LHD,104.7,24.5,21,28.3
 Northern NSW LHD, 2013-2014, Persons, Rest of NSW,1639.2,19.3,18.6,20
 Northern NSW LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 Northern NSW LHD, 2014-2015, Males, Northern NSW LHD,58.6,31.1,25.4,37.7
 Northern NSW LHD, 2014-2015, Males, Rest of NSW,921.4,24,22.9,25.1
 Northern NSW LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 Northern NSW LHD, 2014-2015, Females, Northern NSW LHD,48.9,17.8,14.1,22.1
 Northern NSW LHD, 2014-2015, Females, Rest of NSW,760.6,14.5,13.8,15.3
 Northern NSW LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 Northern NSW LHD, 2014-2015, Persons, Northern NSW LHD,107.5,24.6,21.1,28.4
 Northern NSW LHD, 2014-2015, Persons, Rest of NSW,1682,19.4,18.7,20.1
 Northern NSW LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 Northern NSW LHD, 2015-2016, Males, Northern NSW LHD,62.3,33.3,27.3,40.2
 Northern NSW LHD, 2015-2016, Males, Rest of NSW,932.4,23.7,22.6,24.8
 Northern NSW LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 Northern NSW LHD, 2015-2016, Females, Northern NSW LHD,46.2,16.6,13,20.7
 Northern NSW LHD, 2015-2016, Females, Rest of NSW,752.5,14.2,13.4,14.9
 Northern NSW LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 Northern NSW LHD, 2015-2016, Persons, Northern NSW LHD,108.5,24.9,21.4,28.8
 Northern NSW LHD, 2015-2016, Persons, Rest of NSW,1684.9,19,18.4,19.7
 Northern NSW LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 Mid North Coast LHD, 2001-2002, Males, Mid North Coast LHD,34.1,35.1,26.9,44.8
 Mid North Coast LHD, 2001-2002, Males, Rest of NSW,893.5,30.8,29.4,32.3
 Mid North Coast LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 Mid North Coast LHD, 2001-2002, Females, Mid North Coast LHD,31.1,22,16.7,28.4
 Mid North Coast LHD, 2001-2002, Females, Rest of NSW,857,21.8,20.7,22.8
 Mid North Coast LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 Mid North Coast LHD, 2001-2002, Persons, Mid North Coast LHD,65.3,28.8,23.9,34.4
 Mid North Coast LHD, 2001-2002, Persons, Rest of NSW,1750.4,26.8,25.9,27.7
 Mid North Coast LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 Mid North Coast LHD, 2002-2003, Males, Mid North Coast LHD,34.5,33,25.4,42.2
 Mid North Coast LHD, 2002-2003, Males, Rest of NSW,872.4,29.6,28.2,31.1
 Mid North Coast LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 Mid North Coast LHD, 2002-2003, Females, Mid North Coast LHD,32.8,22.4,17.2,28.7
 Mid North Coast LHD, 2002-2003, Females, Rest of NSW,876.5,21.7,20.7,22.8
 Mid North Coast LHD, 2002-2003, Females, Total NSW,909.2,21.6,20.6,22.6
 Mid North Coast LHD, 2002-2003, Persons, Mid North Coast LHD,67.3,28.2,23.4,33.6
 Mid North Coast LHD, 2002-2003, Persons, Rest of NSW,1748.9,26.3,25.4,27.1
 Mid North Coast LHD, 2002-2003, Persons, Total NSW,1816.2,26.3,25.5,27.2
 Mid North Coast LHD, 2003-2004, Males, Mid North Coast LHD,30.8,28.4,21.5,36.7
 Mid North Coast LHD, 2003-2004, Males, Rest of NSW,833.5,27.9,26.6,29.3
 Mid North Coast LHD, 2003-2004, Males, Total NSW,864.3,28.1,26.7,29.4
 Mid North Coast LHD, 2003-2004, Females, Mid North Coast LHD,30.9,20.1,15.3,26
 Mid North Coast LHD, 2003-2004, Females, Rest of NSW,863.7,21,20,22
 Mid North Coast LHD, 2003-2004, Females, Total NSW,894.6,20.8,19.8,21.8
 Mid North Coast LHD, 2003-2004, Persons, Mid North Coast LHD,61.7,24.8,20.4,29.7
 Mid North Coast LHD, 2003-2004, Persons, Rest of NSW,1697.2,25,24.2,25.9
 Mid North Coast LHD, 2003-2004, Persons, Total NSW,1758.9,25,24.2,25.8
 Mid North Coast LHD, 2004-2005, Males, Mid North Coast LHD,30.1,27.8,21,36.1
 Mid North Coast LHD, 2004-2005, Males, Rest of NSW,805.3,26.6,25.3,27.9
 Mid North Coast LHD, 2004-2005, Males, Total NSW,835.4,26.7,25.4,28
 Mid North Coast LHD, 2004-2005, Females, Mid North Coast LHD,31,19.6,14.7,25.5
 Mid North Coast LHD, 2004-2005, Females, Rest of NSW,829.1,19.7,18.8,20.7
 Mid North Coast LHD, 2004-2005, Females, Total NSW,860.1,19.5,18.6,20.5
 Mid North Coast LHD, 2004-2005, Persons, Mid North Coast LHD,61.1,24.2,19.9,29.1
 Mid North Coast LHD, 2004-2005, Persons, Rest of NSW,1634.4,23.7,22.9,24.5
 Mid North Coast LHD, 2004-2005, Persons, Total NSW,1695.5,23.6,22.8,24.4
 Mid North Coast LHD, 2005-2006, Males, Mid North Coast LHD,32.8,29.6,22.6,38.1
 Mid North Coast LHD, 2005-2006, Males, Rest of NSW,813.6,26.3,25,27.6
 Mid North Coast LHD, 2005-2006, Males, Total NSW,846.4,26.5,25.2,27.8
 Mid North Coast LHD, 2005-2006, Females, Mid North Coast LHD,29.5,17.9,13.3,23.5
 Mid North Coast LHD, 2005-2006, Females, Rest of NSW,810.9,18.9,18,19.9
 Mid North Coast LHD, 2005-2006, Females, Total NSW,840.4,18.6,17.7,19.6
 Mid North Coast LHD, 2005-2006, Persons, Mid North Coast LHD,62.3,24,19.8,28.9
 Mid North Coast LHD, 2005-2006, Persons, Rest of NSW,1624.5,23,22.2,23.8
 Mid North Coast LHD, 2005-2006, Persons, Total NSW,1686.8,23,22.2,23.8
 Mid North Coast LHD, 2006-2007, Males, Mid North Coast LHD,32.5,27.6,21,35.4
 Mid North Coast LHD, 2006-2007, Males, Rest of NSW,822,25.9,24.7,27.2
 Mid North Coast LHD, 2006-2007, Males, Total NSW,854.5,26.1,24.9,27.4
 Mid North Coast LHD, 2006-2007, Females, Mid North Coast LHD,30.2,17.2,13,22.3
 Mid North Coast LHD, 2006-2007, Females, Rest of NSW,809.8,18.4,17.5,19.4
 Mid North Coast LHD, 2006-2007, Females, Total NSW,840,18.2,17.3,19.1
 Mid North Coast LHD, 2006-2007, Persons, Mid North Coast LHD,62.7,22.6,18.7,27.1
 Mid North Coast LHD, 2006-2007, Persons, Rest of NSW,1631.8,22.5,21.8,23.3
 Mid North Coast LHD, 2006-2007, Persons, Total NSW,1694.5,22.5,21.8,23.3
 Mid North Coast LHD, 2007-2008, Males, Mid North Coast LHD,28.9,23.1,17.3,30.1
 Mid North Coast LHD, 2007-2008, Males, Rest of NSW,808.7,24.8,23.6,26
 Mid North Coast LHD, 2007-2008, Males, Total NSW,837.5,24.9,23.7,26.2
 Mid North Coast LHD, 2007-2008, Females, Mid North Coast LHD,33.4,18.4,14.1,23.6
 Mid North Coast LHD, 2007-2008, Females, Rest of NSW,807.3,17.8,16.9,18.7
 Mid North Coast LHD, 2007-2008, Females, Total NSW,840.7,17.6,16.7,18.5
 Mid North Coast LHD, 2007-2008, Persons, Mid North Coast LHD,62.3,21.2,17.5,25.4
 Mid North Coast LHD, 2007-2008, Persons, Rest of NSW,1616,21.7,20.9,22.4
 Mid North Coast LHD, 2007-2008, Persons, Total NSW,1678.2,21.7,20.9,22.4
 Mid North Coast LHD, 2008-2009, Males, Mid North Coast LHD,30,24.3,18.2,31.6
 Mid North Coast LHD, 2008-2009, Males, Rest of NSW,823.4,24.6,23.4,25.8
 Mid North Coast LHD, 2008-2009, Males, Total NSW,853.4,24.8,23.6,26
 Mid North Coast LHD, 2008-2009, Females, Mid North Coast LHD,32.6,18,13.7,23.2
 Mid North Coast LHD, 2008-2009, Females, Rest of NSW,798.2,17.1,16.3,18
 Mid North Coast LHD, 2008-2009, Females, Total NSW,830.8,17,16.1,17.8
 Mid North Coast LHD, 2008-2009, Persons, Mid North Coast LHD,62.6,21.5,17.7,25.8
 Mid North Coast LHD, 2008-2009, Persons, Rest of NSW,1621.5,21.2,20.5,21.9
 Mid North Coast LHD, 2008-2009, Persons, Total NSW,1684.2,21.2,20.5,21.9
 Mid North Coast LHD, 2009-2010, Males, Mid North Coast LHD,34.7,28.2,21.6,36.2
 Mid North Coast LHD, 2009-2010, Males, Rest of NSW,841.3,24.4,23.2,25.6
 Mid North Coast LHD, 2009-2010, Males, Total NSW,876,24.7,23.5,25.9
 Mid North Coast LHD, 2009-2010, Females, Mid North Coast LHD,33.1,17.8,13.5,23
 Mid North Coast LHD, 2009-2010, Females, Rest of NSW,786.4,16.4,15.6,17.3
 Mid North Coast LHD, 2009-2010, Females, Total NSW,819.4,16.3,15.5,17.2
 Mid North Coast LHD, 2009-2010, Persons, Mid North Coast LHD,67.7,23.3,19.3,27.9
 Mid North Coast LHD, 2009-2010, Persons, Rest of NSW,1627.7,20.7,20,21.5
 Mid North Coast LHD, 2009-2010, Persons, Total NSW,1695.4,20.8,20.1,21.5
 Mid North Coast LHD, 2010-2011, Males, Mid North Coast LHD,37.1,29.1,22.4,37
 Mid North Coast LHD, 2010-2011, Males, Rest of NSW,846.9,23.8,22.7,25
 Mid North Coast LHD, 2010-2011, Males, Total NSW,884,24.2,23,25.3
 Mid North Coast LHD, 2010-2011, Females, Mid North Coast LHD,33.8,17.4,13.2,22.4
 Mid North Coast LHD, 2010-2011, Females, Rest of NSW,790.8,16.1,15.3,16.9
 Mid North Coast LHD, 2010-2011, Females, Total NSW,824.6,16,15.2,16.8
 Mid North Coast LHD, 2010-2011, Persons, Mid North Coast LHD,70.9,23.5,19.5,28
 Mid North Coast LHD, 2010-2011, Persons, Rest of NSW,1637.7,20.3,19.6,21
 Mid North Coast LHD, 2010-2011, Persons, Total NSW,1708.6,20.4,19.7,21.1
 Mid North Coast LHD, 2011-2012, Males, Mid North Coast LHD,34.9,26.7,20.5,34.3
 Mid North Coast LHD, 2011-2012, Males, Rest of NSW,855.6,23.5,22.4,24.7
 Mid North Coast LHD, 2011-2012, Males, Total NSW,890.6,23.8,22.7,24.9
 Mid North Coast LHD, 2011-2012, Females, Mid North Coast LHD,34.8,18.7,14.2,24.1
 Mid North Coast LHD, 2011-2012, Females, Rest of NSW,788.5,15.7,14.9,16.5
 Mid North Coast LHD, 2011-2012, Females, Total NSW,823.3,15.6,14.8,16.4
 Mid North Coast LHD, 2011-2012, Persons, Mid North Coast LHD,69.7,22.9,18.9,27.3
 Mid North Coast LHD, 2011-2012, Persons, Rest of NSW,1644.2,19.9,19.2,20.6
 Mid North Coast LHD, 2011-2012, Persons, Total NSW,1713.9,20,19.3,20.6
 Mid North Coast LHD, 2012-2013, Males, Mid North Coast LHD,34.7,26.7,20.3,34.3
 Mid North Coast LHD, 2012-2013, Males, Rest of NSW,872.2,23.5,22.4,24.6
 Mid North Coast LHD, 2012-2013, Males, Total NSW,906.9,23.7,22.6,24.8
 Mid North Coast LHD, 2012-2013, Females, Mid North Coast LHD,33.3,18,13.5,23.3
 Mid North Coast LHD, 2012-2013, Females, Rest of NSW,762.2,14.9,14.1,15.7
 Mid North Coast LHD, 2012-2013, Females, Total NSW,795.5,14.8,14,15.5
 Mid North Coast LHD, 2012-2013, Persons, Mid North Coast LHD,68,22.5,18.5,27
 Mid North Coast LHD, 2012-2013, Persons, Rest of NSW,1634.5,19.4,18.7,20.1
 Mid North Coast LHD, 2012-2013, Persons, Total NSW,1702.4,19.4,18.7,20.1
 Mid North Coast LHD, 2013-2014, Males, Mid North Coast LHD,40.9,31.1,24.2,39.3
 Mid North Coast LHD, 2013-2014, Males, Rest of NSW,905.9,23.8,22.7,24.9
 Mid North Coast LHD, 2013-2014, Males, Total NSW,946.8,24.1,23,25.2
 Mid North Coast LHD, 2013-2014, Females, Mid North Coast LHD,32.3,16.3,12.2,21.2
 Mid North Coast LHD, 2013-2014, Females, Rest of NSW,764.8,14.6,13.9,15.4
 Mid North Coast LHD, 2013-2014, Females, Total NSW,797.1,14.4,13.7,15.2
 Mid North Coast LHD, 2013-2014, Persons, Mid North Coast LHD,73.2,23.7,19.7,28.3
 Mid North Coast LHD, 2013-2014, Persons, Rest of NSW,1670.6,19.4,18.7,20.1
 Mid North Coast LHD, 2013-2014, Persons, Total NSW,1743.9,19.4,18.8,20.1
 Mid North Coast LHD, 2014-2015, Males, Mid North Coast LHD,43.3,32.4,25.4,40.6
 Mid North Coast LHD, 2014-2015, Males, Rest of NSW,936.7,24.1,23,25.2
 Mid North Coast LHD, 2014-2015, Males, Total NSW,980,24.4,23.3,25.5
 Mid North Coast LHD, 2014-2015, Females, Mid North Coast LHD,32.5,15.7,11.8,20.5
 Mid North Coast LHD, 2014-2015, Females, Rest of NSW,777,14.6,13.9,15.4
 Mid North Coast LHD, 2014-2015, Females, Total NSW,809.5,14.3,13.6,15.1
 Mid North Coast LHD, 2014-2015, Persons, Mid North Coast LHD,75.8,23.9,19.9,28.5
 Mid North Coast LHD, 2014-2015, Persons, Rest of NSW,1713.7,19.5,18.8,20.2
 Mid North Coast LHD, 2014-2015, Persons, Total NSW,1789.5,19.5,18.9,20.2
 Mid North Coast LHD, 2015-2016, Males, Mid North Coast LHD,42.8,31.3,24.5,39.4
 Mid North Coast LHD, 2015-2016, Males, Rest of NSW,951.9,23.9,22.8,25
 Mid North Coast LHD, 2015-2016, Males, Total NSW,994.7,24.2,23.1,25.3
 Mid North Coast LHD, 2015-2016, Females, Mid North Coast LHD,31,14.6,10.9,19.1
 Mid North Coast LHD, 2015-2016, Females, Rest of NSW,767.7,14.3,13.5,15
 Mid North Coast LHD, 2015-2016, Females, Total NSW,798.7,14,13.2,14.7
 Mid North Coast LHD, 2015-2016, Persons, Mid North Coast LHD,73.8,22.8,18.9,27.1
 Mid North Coast LHD, 2015-2016, Persons, Rest of NSW,1719.6,19.2,18.5,19.8
 Mid North Coast LHD, 2015-2016, Persons, Total NSW,1793.4,19.1,18.5,19.8
 Southern NSW LHD, 2001-2002, Males, Southern NSW LHD,29.7,34.2,25.8,44.3
 Southern NSW LHD, 2001-2002, Males, Rest of NSW,898,30.8,29.3,32.2
 Southern NSW LHD, 2001-2002, Males, Total NSW,927.6,31,29.5,32.4
 Southern NSW LHD, 2001-2002, Females, Southern NSW LHD,25.3,23.9,17.8,31.6
 Southern NSW LHD, 2001-2002, Females, Rest of NSW,862.8,21.7,20.7,22.8
 Southern NSW LHD, 2001-2002, Females, Total NSW,888.1,21.6,20.6,22.7
 Southern NSW LHD, 2001-2002, Persons, Southern NSW LHD,55,29.6,24.3,35.7
 Southern NSW LHD, 2001-2002, Persons, Rest of NSW,1760.7,26.8,25.9,27.7
 Southern NSW LHD, 2001-2002, Persons, Total NSW,1815.7,26.8,26,27.7
 Southern NSW LHD, 2002-2003, Males, Southern NSW LHD,33.4,37.3,28.7,47.6
 Southern NSW LHD, 2002-2003, Males, Rest of NSW,873.5,29.5,28.1,30.9
 Southern NSW LHD, 2002-2003, Males, Total NSW,906.9,29.8,28.4,31.3
 Southern NSW LHD, 2002-2003, Females, Southern NSW LHD,29.3,26.6,20.2,34.4
